conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1927997965647446122,Fri May 30 00:38:27 +0000 2025,0,@reaareaa__ Makin yakin dengan masa depan Danantara karena dukungan Prabowo,1928249613560983866,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249613560983866,1699363501846994944,
1927998414643470631,Fri May 30 00:38:12 +0000 2025,0,@reaareaa__ Keberpihakan Presiden Prabowo pada Danantara wujud kecintaan pada karya anak bangsa,1928249550709612632,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249550709612632,1699441447894908928,
1927997965647446122,Fri May 30 00:37:52 +0000 2025,0,@reaareaa__ Presiden Prabowo selalu jadi pendukung terbaik untuk Danantara,1928249464185110874,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249464185110874,1699324117852577792,
1927997965647446122,Fri May 30 00:37:23 +0000 2025,0,@reaareaa__ Presiden Prabowo ngasih harapan baru buat komunitas Danantara motivasi tambah gede,1928249345763061775,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249345763061775,1876837600532860928,
1927998414643470631,Fri May 30 00:37:01 +0000 2025,0,@reaareaa__ Dukungan Presiden Prabowo ke Danantara bikin optimis sama masa depan digital Indonesia,1928249250476876031,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249250476876031,1709819365607231488,
1927998414643470631,Fri May 30 00:36:10 +0000 2025,0,@reaareaa__ Berterima kasih banget sama Presiden Prabowo karena konsisten support Danantara,1928249039717384609,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928249039717384609,1709769624974499840,
1927997965647446122,Fri May 30 00:34:13 +0000 2025,0,@reaareaa__ Presiden Prabowo bawa angin segar buat Danantara makin optimis liat perkembangan teknologi kita,1928248549357056265,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248549357056265,1701128098866139136,
1927998414643470631,Fri May 30 00:33:29 +0000 2025,0,@reaareaa__ Presiden Prabowo bener-bener tahu pentingnya Danantara untuk inovasi bangsa,1928248362979185133,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248362979185133,1711248518789378048,
1927997965647446122,Fri May 30 00:33:16 +0000 2025,0,@reaareaa__ Keputusan Presiden Prabowo support Danantara keren banget bikin inovasi tanah air naik level,1928248306536435744,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248306536435744,1709792080820944896,
1927997965647446122,Fri May 30 00:32:47 +0000 2025,0,@reaareaa__ Presiden Prabowo layak dicontoh soal kepedulian sama kemajuan Danantara,1928248187921338732,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248187921338732,1699276481749512192,
1927998414643470631,Fri May 30 00:32:32 +0000 2025,0,@reaareaa__ Andil Presiden Prabowo dalam support ke Danantara tuh gak tergantikan,1928248122632761377,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248122632761377,1711613219297742848,
1927998414643470631,Fri May 30 00:32:31 +0000 2025,0,@reaareaa__ Seneng liat Presiden Prabowo dukung Danantara semoga bisa jadi inspirasi startup lain,1928248120300761133,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248120300761133,1708741669020135424,
1927998414643470631,Fri May 30 00:32:25 +0000 2025,0,@reaareaa__ Seru liat Presiden Prabowo concern sama Danantara bukti komitmen ke startup lokal,1928248093666951486,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928248093666951486,1709081066882076672,
1928049238635859988,Fri May 30 00:32:13 +0000 2025,0,@DS_yantie Bener ntar masuk danantara yg endingnya d korup juga,1928248044840988927,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1928248044840988927,175994322,
1927997965647446122,Fri May 30 00:31:15 +0000 2025,0,@reaareaa__ Bersyukur Presiden Prabowo support Danantara digitalisasi Indonesia makin ngebut,1928247800334016734,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247800334016734,1701101970365542400,
1927997965647446122,Fri May 30 00:30:52 +0000 2025,0,@reaareaa__ Dukungan nyata dari Presiden Prabowo buat Danantara ini keren banget,1928247703424712853,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247703424712853,1710179307811966976,
1927998414643470631,Fri May 30 00:29:57 +0000 2025,0,@reaareaa__ Prabowo mendorong Danantara ke level yang beda bukti pemimpin visioner,1928247474054909990,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247474054909990,1718925750177562624,
1927998414643470631,Fri May 30 00:28:39 +0000 2025,0,@reaareaa__ Kalau Presiden Prabowo udah support Danantara pasti makin bersinar,1928247148031709411,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247148031709411,1699313838699798528,
1927997965647446122,Fri May 30 00:28:19 +0000 2025,0,@reaareaa__ Presiden Prabowo selalu kasih ruang untuk Danantara terus berkembang,1928247060718871029,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247060718871029,1699267307875553280,
1927997965647446122,Fri May 30 00:28:09 +0000 2025,0,@reaareaa__ Beruntung banget Danantara dapat dukungan penuh dari Presiden Prabowo,1928247020017570190,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928247020017570190,1699639574862172160,
1927997965647446122,Fri May 30 00:26:56 +0000 2025,0,@reaareaa__ Prabowo andalkan Danantara nasionalisme dan inovasi jalan bareng,1928246713061450010,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928246713061450010,1710135279259201536,
1927997965647446122,Fri May 30 00:24:54 +0000 2025,0,@reaareaa__ Dukungannya Presiden Prabowo untuk Danantara bikin sedap,1928246203025670462,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928246203025670462,1699648538198917120,
1927997965647446122,Fri May 30 00:24:09 +0000 2025,0,@reaareaa__ Proud banget Presiden Prabowo selalu ada buat Danantara kapan pun,1928246015406031305,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928246015406031305,1699326272403550208,
1927998414643470631,Fri May 30 00:23:29 +0000 2025,0,@reaareaa__ Salut sama Presiden Prabowo yang nggak ragu dorong Danantara jadi kebanggaan nasional,1928245846606242142,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928245846606242142,1711240130114330624,
1927998414643470631,Fri May 30 00:22:34 +0000 2025,0,@reaareaa__ Dengan Presiden Prabowo dukung Danantara optimis banget sama masa depan,1928245616934887760,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928245616934887760,1709094647174496256,
1927998414643470631,Fri May 30 00:20:51 +0000 2025,0,@reaareaa__ Presiden Prabowo emang paling bisa menjaga spirit Danantara tetap menyala,1928245182949920949,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928245182949920949,1849341894729596928,
1927997965647446122,Fri May 30 00:19:40 +0000 2025,0,@reaareaa__ Dengan dukungan Presiden Prabowo Danantara bakal jadi salah satu contoh sukses digital anak bangsa,1928244886844633464,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928244886844633464,1699275280140177408,
1927997965647446122,Fri May 30 00:18:35 +0000 2025,0,@reaareaa__ Prabowo tunjukkan perhatian real ke Danantara semangat terus kita buat berinovasi,1928244613124358182,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928244613124358182,1699337262222426112,
1927998414643470631,Fri May 30 00:18:20 +0000 2025,0,@reaareaa__ Senang rasanya liat Presiden Prabowo percaya penuh sama Danantara,1928244549370945799,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928244549370945799,1699975950656806912,
1927997965647446122,Fri May 30 00:17:47 +0000 2025,0,@reaareaa__ Presiden Prabowo benar-benar buktiin perhatian ke Danantara spirit positif buat pelaku digital,1928244412120805658,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928244412120805658,1698991115406544896,
1927998414643470631,Fri May 30 00:15:58 +0000 2025,0,@reaareaa__ Presiden Prabowo bener-bener inspirasi dengan dukungan kuatnya ke Danantara,1928243955470041363,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243955470041363,1709785504412246016,
1927998414643470631,Fri May 30 00:15:17 +0000 2025,0,@reaareaa__ Cara Presiden Prabowo support Danantara tuh selalu ngasih motivasi baru buat kita semua,1928243782299918346,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243782299918346,1699319956595490816,
1927997965647446122,Fri May 30 00:15:15 +0000 2025,0,@reaareaa__ Cara Presiden Prabowo tunjukin dukungannya ke Danantara tuh benar-benar inspiratif,1928243775299579949,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243775299579949,1709790679902347264,
1927683640189722755,Fri May 30 00:15:12 +0000 2025,0,@erlangga_tsu @ardisatriawan @SBYudhoyono yang memprihatinkan danantara bubar²,1928243759793180880,,erlangga_tsu,in,,0,0,0,https://x.com/undefined/status/1928243759793180880,284564163,
1927998414643470631,Fri May 30 00:14:53 +0000 2025,0,@reaareaa__ Presiden Prabowo support penuh Danantara semoga makin banyak yang terinspirasi,1928243683926626686,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243683926626686,1709073305255424000,
1927998414643470631,Fri May 30 00:14:51 +0000 2025,0,@reaareaa__ Presiden Prabowo gak ragu kasih support ke Danantara semangatnya nular ke kita semua,1928243672576876822,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243672576876822,1711949849430794240,
1927997965647446122,Fri May 30 00:14:48 +0000 2025,0,@reaareaa__ Presiden Prabowo percaya Danantara bisa bersaing secara global patut diacungi jempol,1928243660237230435,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243660237230435,1701447076037697536,
1927998414643470631,Fri May 30 00:14:42 +0000 2025,0,@reaareaa__ Presiden Prabowo selalu jadi support system terbaiknya Danantara,1928243637613379713,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243637613379713,1833789460183756800,
1927997965647446122,Fri May 30 00:13:43 +0000 2025,0,@reaareaa__ Presiden Prabowo hadir kasih semangat ke Danantara supaya makin hebat,1928243389712961875,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243389712961875,1701450011429732352,
1927997965647446122,Fri May 30 00:13:08 +0000 2025,0,@reaareaa__ Tim Danantara pasti makin antusias dapet dukungan besar dari Presiden Prabowo,1928243241050116123,,reaareaa__,in,,0,0,0,https://x.com/undefined/status/1928243241050116123,1711580330942234624,
