"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1894126312253739047","Mon Feb 24 20:44:38 +0000 2025","0","Peran internet dalam memajukan industri lokal siapa yang ga setuju #DanantaraBangunNegeri Danantara Terpercaya","1894126312253739047","","","in","","0","0","0","https://x.com/undefined/status/1894126312253739047","1686997513822466048",
"1894126297246568896","Mon Feb 24 20:44:35 +0000 2025","0","Danantara menjadi solusi tepat agar pembangunan nasional lebih efektif dan efisien #DanantaraBangunNegeri Danantara Terpercaya","1894126297246568896","","","in","","0","0","0","https://x.com/undefined/status/1894126297246568896","1709807441507135488",
"1894013122349826256","Mon Feb 24 20:44:32 +0000 2025","0","@Perisialinaa_ Danantara menciptakan sinergi positif bagi pertumbuhan ekonomi nasionalDanantara hadir membuka peluang baru untuk kemajuan ekonomi nasional kita #DanantaraBangunNegeri Danantara Terpercaya","1894126284848206164","","Perisialinaa_","in","","0","0","0","https://x.com/undefined/status/1894126284848206164","1701529617264414720",
"1893994379565584731","Mon Feb 24 20:44:21 +0000 2025","0","@unilubis Ngeri. Jokowi ikut urusi Danantara. Ada juga orang asing Tony Blair. Tak aneh Dokter Tifa @DokterTifa khawatir kedaulatan ekonomi nasional dihancurkan para koruptor dan elit global. Wajar juga ada seruan menarik dana dari bank BUMN. https://t.co/O20WG501Ns","1894126240673796436","","unilubis","in","","0","0","0","https://x.com/undefined/status/1894126240673796436","1686096384829915136",
"1894126142149595182","Mon Feb 24 20:43:58 +0000 2025","0","Dengan pengawasan ketat Danantara bikin semua lebih transparan #DanantaraBangunNegeri Danantara Terpercaya","1894126142149595182","","","in","","0","0","0","https://x.com/undefined/status/1894126142149595182","1693845028811202560",
"1894013943414145046","Mon Feb 24 20:43:57 +0000 2025","0","@annwrr_kasiiff Inisiatif Danantara jadi andalan buat pertumbuhan ekonomi nasional #DanantaraBangunNegeri Danantara Terpercaya","1894126140891029659","","annwrr_kasiiff","in","","0","0","0","https://x.com/undefined/status/1894126140891029659","1702540213846003712",
"1894126109845065739","Mon Feb 24 20:43:50 +0000 2025","0","Danantara diyakini bisa meningkatkan daya saing ekonomi Indonesia dengan strategi investasi yang terpadu #DanantaraBangunNegeri Danantara Terpercaya","1894126109845065739","","","in","","0","0","0","https://x.com/undefined/status/1894126109845065739","1701844011588399104",
"1894126064257175615","Mon Feb 24 20:43:39 +0000 2025","0","Danantara jadi harapan baru menjawab tantangan pembangunan dan investasi Indonesia #DanantaraBangunNegeri Danantara Terpercaya","1894126064257175615","","","in","","0","0","0","https://x.com/undefined/status/1894126064257175615","1701107992144596992",
"1894126028010000398","Mon Feb 24 20:43:30 +0000 2025","0","Dengan hadirnya Danantara ada harapan baru untuk bangkitkan ekonomi dan atasi persoalan pembangunan #DanantaraBangunNegeri Danantara Terpercaya https://t.co/6N83HRCuG6","1894126028010000398","https://pbs.twimg.com/media/GklJlGZXkAABmlP.jpg","","in","","0","0","0","https://x.com/undefined/status/1894126028010000398","1694189790902824960",
"1893871676942696743","Mon Feb 24 20:43:09 +0000 2025","0","@Mdy_Asmara1701 ewhhh liat muka nya aja dah kebayang nanti ke depannya si danantara ‍ gelap gulita kayak IKN","1894125939099144276","","Mdy_Asmara1701","in","","0","0","0","https://x.com/undefined/status/1894125939099144276","1492041873614991363",
